codigo_proveedor,nombre
VIRU,VIRUS MAN ANTISEPTICOS EIRL
VISA,VISALDI E.I.R.L. DISTRIBUIDOR
VITL,INVERSIONES VITA LEX E.I.R.L.
VITP,VITA (PROVEEDOR)
VO5,ALBERTO VO5
VOGU,JOLIET DE VOGUE IMPORT EXPORT
WALK,IMPORTACIONES WALIKI S.R.L.
WARA,WARA
WELP,WELLNESS PHARMA S.A.C
WILL,WILLY RICARDOS E.I.R.L.
WIMP,DISTRIBUIDORA WIMPY SRL.
WINP,DISTRIBUIDORA WINPY SRL.
WONG,COMERCIALIZADORA WONG
WOSA,COWSA CENTRO ORTOPED.WONG
WYET,WYETH
XIA,XIAMEN ANT-  BRO TECHNOLOGY
XIME,XIMENA DEL CARPIO P. DRISTR.
YAMB,YAMBORY
YANB,YANBAL DISTRIBUIDORA
YORK,YORK PERU S.A.
ZEFA,ZEFARMA
ZILI,ZILICOM
ZOTA,ZOTAC
ZOTI,ZOTAC AREQUIPA
ZZZZ,POR CLASIFICAR
